horizon,fold,config,model,n_test,mae,rmse,dir_acc
3,1,A_EconOnly,xgboost,876,0.07326223701238632,0.12048353254795074,0.6518264840182648
3,1,A_EconOnly,ensemble_lgbm_ridge_prior,876,0.06929461961305677,0.11480081994460367,0.6792237442922374
3,2,A_EconOnly,naive_persistence,876,0.06772260367870331,0.11285673081874847,0.7819634703196348
3,2,A_EconOnly,ar1_honest,876,0.06772260367870331,0.11285673081874847,0.7819634703196348
3,2,A_EconOnly,ridge,876,0.07766474783420563,0.11715732514858246,0.6940639269406392
3,2,A_EconOnly,lgbm,876,0.05987759134806925,0.09940010678475193,0.7808219178082192
3,2,A_EconOnly,xgboost,876,0.05668550357222557,0.09706926345825195,0.7968036529680366
3,2,A_EconOnly,ensemble_lgbm_ridge_prior,876,0.057132977145857626,0.09361277902865597,0.8036529680365296
3,3,A_EconOnly,naive_persistence,874,0.06716553866863251,0.10753016173839569,0.7551487414187643
3,3,A_EconOnly,ar1_honest,874,0.06716553866863251,0.10753016173839569,0.7551487414187643
3,3,A_EconOnly,ridge,874,0.08790497481822968,0.1277819573879242,0.6395881006864989
3,3,A_EconOnly,lgbm,874,0.07863468375789671,0.11541151365317151,0.7013729977116705
3,3,A_EconOnly,xgboost,874,0.06902242451906204,0.1062503531575203,0.7208237986270023
3,3,A_EconOnly,ensemble_lgbm_ridge_prior,874,0.06811155323979189,0.10606156922867856,0.7356979405034325
3,4,A_EconOnly,naive_persistence,866,0.06369350850582123,0.10016614943742752,0.8325635103926097
3,4,A_EconOnly,ar1_honest,866,0.06369350850582123,0.10016614943742752,0.8325635103926097
3,4,A_EconOnly,ridge,866,0.09056252241134644,0.12510983645915985,0.6986143187066974
3,4,A_EconOnly,lgbm,866,0.07262076181043173,0.10299570452653121,0.8267898383371824
3,4,A_EconOnly,xgboost,866,0.06416784971952438,0.09229785948991776,0.8221709006928406
3,4,A_EconOnly,ensemble_lgbm_ridge_prior,866,0.066567604649395,0.09263860616819765,0.836027713625866
3,0,B_EconCrossDomain,naive_persistence,644,0.09397055208683014,0.16352976858615875,0.6599378881987578
3,0,B_EconCrossDomain,ar1_honest,644,0.09397055208683014,0.16352976858615875,0.6599378881987578
3,0,B_EconCrossDomain,ridge,644,0.10736937820911407,0.15661530196666718,0.59472049689441
3,0,B_EconCrossDomain,lgbm,644,0.08155863034081665,0.1350118487172827,0.7375776397515528
3,0,B_EconCrossDomain,xgboost,644,0.08756500482559204,0.13886263966560364,0.6273291925465838
3,0,B_EconCrossDomain,ensemble_lgbm_ridge_prior,644,0.08156106239025247,0.13524342204427992,0.703416149068323
3,1,B_EconCrossDomain,naive_persistence,876,0.07253234833478928,0.1297904998064041,0.7157534246575342
3,1,B_EconCrossDomain,ar1_honest,876,0.07253234833478928,0.1297904998064041,0.7157534246575342
3,1,B_EconCrossDomain,ridge,876,0.09364712238311768,0.1364729404449463,0.6312785388127854
3,1,B_EconCrossDomain,lgbm,876,0.07808499600606883,0.124050296526441,0.634703196347032
3,1,B_EconCrossDomain,xgboost,876,0.07264921814203262,0.12042751908302307,0.6552511415525114
3,1,B_EconCrossDomain,ensemble_lgbm_ridge_prior,876,0.07048765956389325,0.11552983806554024,0.684931506849315
3,2,B_EconCrossDomain,naive_persistence,876,0.06772260367870331,0.11285673081874847,0.7819634703196348
3,2,B_EconCrossDomain,ar1_honest,876,0.06772260367870331,0.11285673081874847,0.7819634703196348
3,2,B_EconCrossDomain,ridge,876,0.08663757890462875,0.1260596513748169,0.6906392694063926
3,2,B_EconCrossDomain,lgbm,876,0.05922291610713764,0.09884843064433417,0.7785388127853882
3,2,B_EconCrossDomain,xgboost,876,0.05629142001271248,0.09734774380922318,0.797945205479452
3,2,B_EconCrossDomain,ensemble_lgbm_ridge_prior,876,0.057512856464568454,0.094003909887604,0.8036529680365296
3,3,B_EconCrossDomain,naive_persistence,874,0.06716553866863251,0.10753016173839569,0.7551487414187643
3,3,B_EconCrossDomain,ar1_honest,874,0.06716553866863251,0.10753016173839569,0.7551487414187643
3,3,B_EconCrossDomain,ridge,874,0.09627386182546616,0.13509878516197205,0.6521739130434783
3,3,B_EconCrossDomain,lgbm,874,0.079596476772041,0.11622607985073108,0.7070938215102975
3,3,B_EconCrossDomain,xgboost,874,0.07075497508049011,0.10834730416536331,0.7093821510297483
3,3,B_EconCrossDomain,ensemble_lgbm_ridge_prior,874,0.07027099199875274,0.10771498650965718,0.7402745995423341
3,4,B_EconCrossDomain,naive_persistence,866,0.06369350850582123,0.10016614943742752,0.8325635103926097
3,4,B_EconCrossDomain,ar1_honest,866,0.06369350850582123,0.10016614943742752,0.8325635103926097
3,4,B_EconCrossDomain,ridge,866,0.0917687863111496,0.1250287890434265,0.7159353348729792
3,4,B_EconCrossDomain,lgbm,866,0.0744140872373836,0.10497417748431259,0.8314087759815243
3,4,B_EconCrossDomain,xgboost,866,0.06495416909456253,0.09442315995693207,0.825635103926097
3,4,B_EconCrossDomain,ensemble_lgbm_ridge_prior,866,0.0656956691629798,0.09217408804138484,0.8267898383371824
3,0,C_TwoStageStack,naive_persistence,644,0.09397055208683014,0.16352976858615875,0.6599378881987578
3,0,C_TwoStageStack,ar1_honest,644,0.09397055208683014,0.16352976858615875,0.6599378881987578
3,0,C_TwoStageStack,ridge,644,0.10136988013982773,0.15302330255508423,0.5993788819875776
3,0,C_TwoStageStack,lgbm,644,0.08343522322650106,0.13697183437457727,0.717391304347826
3,0,C_TwoStageStack,xgboost,644,0.0933343768119812,0.14485938847064972,0.5590062111801242
3,0,C_TwoStageStack,ensemble_lgbm_ridge_prior,644,0.08234014887680607,0.13637256493846442,0.6770186335403726
3,0,C_TwoStageStack,two_stage_stacking,644,0.08186045037560273,0.13473508053260436,0.7546583850931677
3,1,C_TwoStageStack,naive_persistence,876,0.07253234833478928,0.1297904998064041,0.7157534246575342
3,1,C_TwoStageStack,ar1_honest,876,0.07253234833478928,0.1297904998064041,0.7157534246575342
3,1,C_TwoStageStack,ridge,876,0.08607271313667297,0.12988121807575226,0.6335616438356164
3,1,C_TwoStageStack,lgbm,876,0.0778768609042719,0.1228935461473985,0.6255707762557078
3,1,C_TwoStageStack,xgboost,876,0.07326223701238632,0.12048353254795074,0.6518264840182648
3,1,C_TwoStageStack,ensemble_lgbm_ridge_prior,876,0.06929461961305677,0.11480081994460367,0.6792237442922374
3,1,C_TwoStageStack,two_stage_stacking,876,0.08183407259451239,0.12666896635729266,0.6335616438356164
3,2,C_TwoStageStack,naive_persistence,876,0.06772260367870331,0.11285673081874847,0.7819634703196348
3,2,C_TwoStageStack,ar1_honest,876,0.06772260367870331,0.11285673081874847,0.7819634703196348
3,2,C_TwoStageStack,ridge,876,0.07766474783420563,0.11715732514858246,0.6940639269406392
3,2,C_TwoStageStack,lgbm,876,0.05987759134806925,0.09940010678475193,0.7808219178082192
3,2,C_TwoStageStack,xgboost,876,0.05668550357222557,0.09706926345825195,0.7968036529680366
3,2,C_TwoStageStack,ensemble_lgbm_ridge_prior,876,0.057132977145857626,0.09361277902865597,0.8036529680365296
3,2,C_TwoStageStack,two_stage_stacking,876,0.06427135038219155,0.10015739568578454,0.797945205479452
3,3,C_TwoStageStack,naive_persistence,874,0.06716553866863251,0.10753016173839569,0.7551487414187643
3,3,C_TwoStageStack,ar1_honest,874,0.06716553866863251,0.10753016173839569,0.7551487414187643
3,3,C_TwoStageStack,ridge,874,0.08790497481822968,0.1277819573879242,0.6395881006864989
3,3,C_TwoStageStack,lgbm,874,0.07863468375789671,0.11541151365317151,0.7013729977116705
3,3,C_TwoStageStack,xgboost,874,0.06902242451906204,0.1062503531575203,0.7208237986270023
3,3,C_TwoStageStack,ensemble_lgbm_ridge_prior,874,0.06811155323979189,0.10606156922867856,0.7356979405034325
3,3,C_TwoStageStack,two_stage_stacking,874,0.08174746139330875,0.11503770834484754,0.7116704805491991
3,4,C_TwoStageStack,naive_persistence,866,0.06369350850582123,0.10016614943742752,0.8325635103926097
3,4,C_TwoStageStack,ar1_honest,866,0.06369350850582123,0.10016614943742752,0.8325635103926097
3,4,C_TwoStageStack,ridge,866,0.09056252241134644,0.12510983645915985,0.6986143187066974
3,4,C_TwoStageStack,lgbm,866,0.07262076181043173,0.10299570452653121,0.8267898383371824
3,4,C_TwoStageStack,xgboost,866,0.06416784971952438,0.09229785948991776,0.8221709006928406
3,4,C_TwoStageStack,ensemble_lgbm_ridge_prior,866,0.066567604649395,0.09263860616819765,0.836027713625866
3,4,C_TwoStageStack,two_stage_stacking,866,0.10442982120677817,0.13594507723131294,0.8279445727482679
3,0,D_TwinEnhanced,naive_persistence,644,0.09397055208683014,0.16352976858615875,0.6599378881987578
3,0,D_TwinEnhanced,ar1_honest,644,0.09397055208683014,0.16352976858615875,0.6599378881987578
3,0,D_TwinEnhanced,ridge,644,0.10736937820911407,0.15661530196666718,0.59472049689441
3,0,D_TwinEnhanced,lgbm,644,0.08155863034081665,0.1350118487172827,0.7375776397515528
3,0,D_TwinEnhanced,xgboost,644,0.08756500482559204,0.13886263966560364,0.6273291925465838
3,0,D_TwinEnhanced,ensemble_lgbm_ridge_prior,644,0.08156106239025247,0.13524342204427992,0.703416149068323
3,0,D_TwinEnhanced,twin_enhanced_ensemble,644,0.0870314344209369,0.13915972236106988,0.6413043478260869
3,1,D_TwinEnhanced,naive_persistence,876,0.07253234833478928,0.1297904998064041,0.7157534246575342
3,1,D_TwinEnhanced,ar1_honest,876,0.07253234833478928,0.1297904998064041,0.7157534246575342
3,1,D_TwinEnhanced,ridge,876,0.09364712238311768,0.1364729404449463,0.6312785388127854
3,1,D_TwinEnhanced,lgbm,876,0.07808499600606883,0.124050296526441,0.634703196347032
3,1,D_TwinEnhanced,xgboost,876,0.07264921814203262,0.12042751908302307,0.6552511415525114
3,1,D_TwinEnhanced,ensemble_lgbm_ridge_prior,876,0.07048765956389325,0.11552983806554024,0.684931506849315
3,1,D_TwinEnhanced,twin_enhanced_ensemble,876,0.07077918130783148,0.11566557766732226,0.6883561643835616
3,2,D_TwinEnhanced,naive_persistence,876,0.06772260367870331,0.11285673081874847,0.7819634703196348
3,2,D_TwinEnhanced,ar1_honest,876,0.06772260367870331,0.11285673081874847,0.7819634703196348
3,2,D_TwinEnhanced,ridge,876,0.08663757890462875,0.1260596513748169,0.6906392694063926
3,2,D_TwinEnhanced,lgbm,876,0.05922291610713764,0.09884843064433417,0.7785388127853882
3,2,D_TwinEnhanced,xgboost,876,0.05629142001271248,0.09734774380922318,0.797945205479452
3,2,D_TwinEnhanced,ensemble_lgbm_ridge_prior,876,0.057512856464568454,0.094003909887604,0.8036529680365296
3,2,D_TwinEnhanced,twin_enhanced_ensemble,876,0.05875628519371329,0.09630503941575344,0.7899543378995434
3,3,D_TwinEnhanced,naive_persistence,874,0.06716553866863251,0.10753016173839569,0.7551487414187643
3,3,D_TwinEnhanced,ar1_honest,874,0.06716553866863251,0.10753016173839569,0.7551487414187643
3,3,D_TwinEnhanced,ridge,874,0.09627386182546616,0.13509878516197205,0.6521739130434783
