horizon,config,model,n_folds,mae_mean,mae_std,rmse_mean,dir_acc_mean
10,B_EconCrossDomain,ensemble_lgbm_ridge_prior,5,0.12796020943630204,0.011185144507208774,0.18676607149256524,0.8397611514346905
10,B_EconCrossDomain,lgbm,5,0.16537933255520926,0.011377752930935401,0.2414147501755382,0.8037268118025092
10,B_EconCrossDomain,naive_persistence,5,0.08172252774238586,0.029642980932277824,0.12845888063311578,0.902642860378213
10,B_EconCrossDomain,ridge,5,0.20330664217472078,0.012937001204732219,0.279199481010437,0.7296496201087211
10,B_EconCrossDomain,xgboost,5,0.13009193539619446,0.014797387537252907,0.19942042529582976,0.8363509993481015
10,C_TwoStageStack,ar1_honest,5,0.08172252774238586,0.029642980932277824,0.12845888063311578,0.902642860378213
10,C_TwoStageStack,ensemble_lgbm_ridge_prior,5,0.12689465521394022,0.009862224230302733,0.18665828369239496,0.8351776338149467
10,C_TwoStageStack,lgbm,5,0.16308839205077302,0.00900995655863085,0.23753559459437223,0.8048950587374515
10,C_TwoStageStack,naive_persistence,5,0.08172252774238586,0.029642980932277824,0.12845888063311578,0.902642860378213
10,C_TwoStageStack,ridge,5,0.1947617769241333,0.015128749823876205,0.27308922410011294,0.7238769715898545
10,C_TwoStageStack,two_stage_stacking,5,0.1566640746677364,0.021886085399143353,0.22292206595815234,0.8053789770584228
10,C_TwoStageStack,xgboost,5,0.13462709933519362,0.011992865862124525,0.20275224447250367,0.8323507044785622
10,D_TwinEnhanced,ar1_honest,5,0.08172252774238586,0.029642980932277824,0.12845888063311578,0.902642860378213
10,D_TwinEnhanced,ensemble_lgbm_ridge_prior,5,0.12796020943630204,0.011185144507208774,0.18676607149256524,0.8397611514346905
10,D_TwinEnhanced,lgbm,5,0.16537933255520926,0.011377752930935401,0.2414147501755382,0.8037268118025092
10,D_TwinEnhanced,naive_persistence,5,0.08172252774238586,0.029642980932277824,0.12845888063311578,0.902642860378213
10,D_TwinEnhanced,ridge,5,0.20330664217472078,0.012937001204732219,0.279199481010437,0.7296496201087211
10,D_TwinEnhanced,twin_enhanced_ensemble,5,0.12398515682497804,0.013391066214741969,0.184959471802181,0.8437857523667531
10,D_TwinEnhanced,xgboost,5,0.13009193539619446,0.014797387537252907,0.19942042529582976,0.8363509993481015
